order_id,user_id,restaurant_id,food_id,quantity,order_date,payment_method,subtotal,delivery_fee,discount,total_amount,order_status
33,2,73,88,1,2026-04-20,Debit Card,145,50,20,175,Delivered
34,82,25,80,3,2026-01-10,Cash,1590,30,0,1620,Delivered
35,75,47,94,2,2026-06-24,Cash,200,20,20,200,Delivered
36,26,17,70,3,2026-05-27,Cash,1923,40,0,1963,Delivered
37,96,44,15,4,2026-04-28,Cash,324,20,0,344,Preparing
38,47,12,51,1,2026-02-15,Debit Card,566,40,50,556,Out for Delivery
39,96,87,34,4,2026-04-16,UPI,320,40,0,360,Preparing
40,72,42,79,2,2026-05-21,Cash,722,20,30,712,Delivered
41,18,6,5,3,2026-02-08,Wallet,786,50,0,836,Delivered
42,50,59,48,4,2026-02-27,Cash,1132,30,30,1132,Preparing
43,53,36,5,3,2026-08-08,Debit Card,786,30,30,786,Delivered
44,88,48,70,3,2026-05-07,UPI,1923,20,30,1913,Cancelled
45,12,85,28,1,2026-04-05,Wallet,382,20,20,382,Delivered
46,9,98,71,2,2026-06-25,Credit Card,1072,30,0,1102,Preparing
47,1,36,19,2,2026-02-22,UPI,302,40,0,342,Delivered
48,2,46,31,3,2026-05-02,Credit Card,1404,20,0,1424,Out for Delivery
49,54,68,15,1,2026-06-17,Wallet,81,50,30,101,Delivered
50,58,65,29,1,2026-01-02,Cash,276,40,30,286,Cancelled
51,55,88,14,4,2026-02-11,Wallet,2104,50,0,2154,Delivered
52,9,17,36,3,2026-05-15,Wallet,1227,50,50,1227,Preparing
53,56,13,90,1,2026-08-08,Cash,497,30,30,497,Delivered
54,59,52,54,1,2026-06-22,Debit Card,279,40,30,289,Delivered
55,20,88,61,1,2026-02-14,UPI,650,20,0,670,Out for Delivery
56,95,48,17,1,2026-07-12,Cash,631,40,0,671,Out for Delivery
57,7,37,77,3,2026-04-05,Cash,1839,40,0,1879,Delivered
58,14,45,72,3,2026-04-26,Cash,726,20,20,726,Preparing
59,99,80,79,1,2026-03-09,Debit Card,361,40,0,401,Delivered
60,45,1,24,2,2026-03-24,UPI,1198,50,0,1248,Delivered
61,96,68,28,4,2026-06-06,Debit Card,1528,50,30,1548,Delivered
62,93,42,100,1,2026-03-25,Wallet,479,20,0,499,Delivered
63,87,11,35,4,2026-08-14,Debit Card,1180,50,30,1200,Delivered
64,97,66,15,3,2026-05-22,Wallet,243,50,0,293,Cancelled
65,68,86,40,1,2026-01-01,Credit Card,298,30,30,298,Delivered
66,28,99,18,3,2026-02-01,Cash,843,40,20,863,Out for Delivery
67,56,23,17,4,2026-06-03,Cash,2524,30,50,2504,Out for Delivery
68,6,56,3,4,2026-07-19,Cash,432,20,20,432,Out for Delivery
69,82,54,38,1,2026-06-06,Wallet,532,50,0,582,Cancelled
70,89,47,12,4,2026-07-19,Cash,1360,20,0,1380,Preparing
71,11,51,40,3,2026-03-03,Wallet,894,30,20,904,Out for Delivery
72,15,68,66,2,2026-03-08,UPI,1110,40,20,1130,Delivered
73,33,26,23,2,2026-08-15,Wallet,774,20,0,794,Preparing
74,58,88,73,3,2026-08-03,Cash,1698,40,0,1738,Cancelled
75,81,39,36,1,2026-02-10,Cash,409,40,50,399,Cancelled
76,5,8,48,3,2026-07-15,Wallet,849,20,0,869,Preparing
77,95,6,58,2,2026-08-17,Credit Card,378,40,50,368,Delivered
78,58,14,44,1,2026-04-23,Cash,423,30,0,453,Cancelled
79,68,67,79,2,2026-05-13,Cash,722,40,20,742,Delivered
80,87,77,7,3,2026-02-18,Cash,1572,20,20,1572,Delivered
81,33,93,85,2,2026-03-12,Debit Card,632,40,0,672,Out for Delivery
82,90,85,51,2,2026-07-21,Debit Card,1132,20,20,1132,Delivered
83,86,90,95,1,2026-06-01,Debit Card,469,50,50,469,Delivered
84,24,28,44,4,2026-03-05,UPI,1692,30,0,1722,Delivered
85,13,65,99,1,2026-03-20,Cash,385,40,50,375,Delivered
86,21,24,89,2,2026-07-12,Credit Card,1008,50,0,1058,Cancelled
87,79,37,97,4,2026-04-10,Cash,344,30,50,324,Delivered
88,48,87,74,4,2026-07-17,Wallet,2160,50,20,2190,Cancelled
89,21,26,78,2,2026-08-28,Debit Card,1152,40,0,1192,Preparing
90,14,92,67,1,2026-03-09,Cash,404,40,0,444,Preparing
91,19,56,12,2,2026-01-14,UPI,680,50,20,710,Cancelled
92,65,48,31,4,2026-04-01,Debit Card,1872,20,20,1872,Delivered
93,92,84,43,2,2026-05-27,Cash,740,30,0,770,Out for Delivery
94,18,98,91,4,2026-01-03,UPI,1672,50,50,1672,Delivered
95,28,20,71,4,2026-04-10,UPI,2144,20,20,2144,Delivered
96,31,54,82,4,2026-08-20,Wallet,1692,20,0,1712,Delivered
97,81,66,74,2,2026-07-01,Wallet,1080,30,20,1090,Delivered
98,31,74,54,2,2026-06-03,Wallet,558,20,50,528,Preparing
99,65,65,71,1,2026-01-21,Cash,536,50,30,556,Delivered
100,33,96,3,3,2026-04-24,UPI,324,20,20,324,Preparing
